,날짜,종가,전일대비,등락률,시가,고가,저가
0,2023-02-21,"2,458.96",3.84,0.16,"2,457.51","2,466.07","2,446.00"
1,2023-02-20,"2,455.12",3.91,0.16,"2,453.25","2,463.17","2,430.27"
2,2023-02-17,"2,451.21",-24.27,-0.98,"2,447.66","2,471.51","2,445.74"
3,2023-02-16,"2,475.48",47.58,1.96,"2,444.06","2,475.99","2,442.07"
4,2023-02-15,"2,427.90",-37.74,-1.53,"2,473.09","2,473.44","2,424.16"
5,2023-02-14,"2,465.64",12.94,0.53,"2,471.33","2,480.34","2,459.83"
6,2023-02-13,"2,452.70",-17.03,-0.69,"2,461.96","2,462.58","2,440.86"
7,2023-02-10,"2,469.73",-11.79,-0.48,"2,470.65","2,473.80","2,454.74"
8,2023-02-09,"2,481.52",-2.12,-0.09,"2,470.66","2,487.14","2,466.61"
9,2023-02-08,"2,483.64",31.93,1.3,"2,469.42","2,487.35","2,465.96"
10,2023-02-07,"2,451.71",13.52,0.55,"2,440.14","2,456.17","2,432.40"
11,2023-02-06,"2,438.19",-42.21,-1.7,"2,461.82","2,469.42","2,438.04"
12,2023-02-03,"2,480.40",11.52,0.47,"2,466.54","2,485.08","2,460.21"
13,2023-02-02,"2,468.88",19.08,0.78,"2,481.94","2,486.20","2,454.60"
14,2023-02-01,"2,449.80",24.72,1.02,"2,446.03","2,453.29","2,433.37"
15,2023-01-31,"2,425.08",-25.39,-1.04,"2,449.92","2,457.48","2,423.37"
16,2023-01-30,"2,450.47",-33.55,-1.35,"2,484.64","2,491.13","2,446.59"
17,2023-01-27,"2,484.02",15.37,0.62,"2,474.52","2,497.40","2,464.53"
18,2023-01-26,"2,468.65",40.08,1.65,"2,436.18","2,468.65","2,426.40"
19,2023-01-25,"2,428.57",33.31,1.39,"2,426.58","2,432.71","2,421.51"
20,2023-01-20,"2,395.26",14.92,0.63,"2,380.00","2,395.97","2,372.57"
21,2023-01-19,"2,380.34",12.02,0.51,"2,354.56","2,380.34","2,354.56"
22,2023-01-18,"2,368.32",-11.07,-0.47,"2,380.36","2,383.00","2,356.84"
23,2023-01-17,"2,379.39",-20.47,-0.85,"2,400.92","2,404.00","2,374.65"
24,2023-01-16,"2,399.86",13.77,0.58,"2,390.06","2,410.22","2,387.61"
25,2023-01-13,"2,386.09",20.99,0.89,"2,377.34","2,397.01","2,375.78"
26,2023-01-12,"2,365.10",5.57,0.24,"2,376.72","2,377.80","2,358.33"
27,2023-01-11,"2,359.53",8.22,0.35,"2,364.05","2,369.66","2,350.36"
28,2023-01-10,"2,351.31",1.12,0.05,"2,348.04","2,370.18","2,344.18"
29,2023-01-09,"2,350.19",60.22,2.63,"2,315.87","2,351.06","2,312.56"
30,2023-01-06,"2,289.97",25.32,1.12,"2,253.40","2,300.62","2,253.27"
31,2023-01-05,"2,264.65",8.67,0.38,"2,268.20","2,281.39","2,252.97"
32,2023-01-04,"2,255.98",37.3,1.68,"2,205.98","2,260.06","2,198.82"
33,2023-01-03,"2,218.68",-6.99,-0.31,"2,230.98","2,230.98","2,180.67"
34,2023-01-02,"2,225.67",-10.73,-0.48,"2,249.95","2,259.88","2,222.37"
35,2022-12-29,"2,236.40",-44.05,-1.93,"2,265.73","2,272.67","2,236.38"
36,2022-12-28,"2,280.45",-52.34,-2.24,"2,296.45","2,296.45","2,276.90"
37,2022-12-27,"2,332.79",15.65,0.68,"2,327.52","2,335.99","2,321.48"
38,2022-12-26,"2,317.14",3.45,0.15,"2,312.54","2,321.92","2,304.20"
39,2022-12-23,"2,313.69",-43.04,-1.83,"2,325.86","2,333.08","2,311.90"
40,2022-12-22,"2,356.73",27.78,1.19,"2,340.00","2,356.73","2,335.75"
41,2022-12-21,"2,328.95",-4.34,-0.19,"2,346.39","2,347.00","2,325.78"
42,2022-12-20,"2,333.29",-18.88,-0.8,"2,344.73","2,353.86","2,324.66"
43,2022-12-19,"2,352.17",-7.85,-0.33,"2,350.78","2,358.76","2,342.28"
44,2022-12-16,"2,360.02",-0.95,-0.04,"2,329.75","2,360.44","2,326.83"
45,2022-12-15,"2,360.97",-38.28,-1.6,"2,383.83","2,392.11","2,360.95"
46,2022-12-14,"2,399.25",26.85,1.13,"2,380.81","2,400.18","2,379.44"
47,2022-12-13,"2,372.40",-0.62,-0.03,"2,385.05","2,388.27","2,364.87"
48,2022-12-12,"2,373.02",-16.02,-0.67,"2,373.58","2,381.87","2,368.47"
49,2022-12-09,"2,389.04",17.96,0.76,"2,382.73","2,390.08","2,367.25"
50,2022-12-08,"2,371.08",-11.73,-0.49,"2,386.90","2,387.95","2,357.20"
51,2022-12-07,"2,382.81",-10.35,-0.43,"2,385.87","2,394.88","2,377.98"
52,2022-12-06,"2,393.16",-26.16,-1.08,"2,397.70","2,416.88","2,390.20"
53,2022-12-05,"2,419.32",-15.01,-0.62,"2,442.17","2,442.22","2,413.05"
54,2022-12-02,"2,434.33",-45.51,-1.84,"2,471.50","2,471.50","2,434.33"
55,2022-12-01,"2,479.84",7.31,0.3,"2,501.43","2,501.43","2,474.33"
56,2022-11-30,"2,472.53",39.14,1.61,"2,424.44","2,472.53","2,421.42"
57,2022-11-29,"2,433.39",25.12,1.04,"2,405.54","2,433.87","2,401.10"
58,2022-11-28,"2,408.27",-29.59,-1.21,"2,425.05","2,425.65","2,401.95"
59,2022-11-25,"2,437.86",-3.47,-0.14,"2,442.21","2,449.66","2,433.57"
60,2022-11-24,"2,441.33",23.32,0.96,"2,437.51","2,441.33","2,428.12"
61,2022-11-23,"2,418.01",12.74,0.53,"2,424.36","2,427.28","2,407.58"
62,2022-11-22,"2,405.27",-14.23,-0.59,"2,405.96","2,426.40","2,401.50"
63,2022-11-21,"2,419.50",-24.98,-1.02,"2,446.05","2,448.14","2,409.36"
64,2022-11-18,"2,444.48",1.58,0.06,"2,448.13","2,471.87","2,442.87"
65,2022-11-17,"2,442.90",-34.55,-1.39,"2,466.50","2,467.39","2,442.90"
66,2022-11-16,"2,477.45",-2.88,-0.12,"2,487.00","2,487.00","2,446.79"
67,2022-11-15,"2,480.33",5.68,0.23,"2,482.76","2,485.20","2,463.65"
68,2022-11-14,"2,474.65",-8.51,-0.34,"2,485.18","2,499.43","2,470.60"
69,2022-11-11,"2,483.16",80.93,3.37,"2,466.90","2,486.46","2,463.51"
70,2022-11-10,"2,402.23",-22.18,-0.91,"2,405.77","2,426.10","2,401.99"
71,2022-11-09,"2,424.41",25.37,1.06,"2,408.54","2,429.65","2,403.64"
72,2022-11-08,"2,399.04",27.25,1.15,"2,387.20","2,400.39","2,375.67"
73,2022-11-07,"2,371.79",23.36,0.99,"2,360.22","2,373.28","2,354.22"
74,2022-11-04,"2,348.43",19.26,0.83,"2,325.85","2,348.43","2,316.29"
75,2022-11-03,"2,329.17",-7.7,-0.33,"2,297.45","2,342.86","2,296.44"
76,2022-11-02,"2,336.87",1.65,0.07,"2,326.05","2,346.32","2,323.37"
77,2022-11-01,"2,335.22",41.61,1.81,"2,301.58","2,335.57","2,297.57"
78,2022-10-31,"2,293.61",25.21,1.11,"2,293.75","2,295.51","2,273.73"
79,2022-10-28,"2,268.40",-20.38,-0.89,"2,276.73","2,292.65","2,266.44"
80,2022-10-27,"2,288.78",39.22,1.74,"2,266.07","2,290.56","2,262.02"
81,2022-10-26,"2,249.56",14.49,0.65,"2,240.70","2,258.11","2,234.49"
82,2022-10-25,"2,235.07",-1.09,-0.05,"2,237.04","2,253.24","2,230.75"
83,2022-10-24,"2,236.16",23.04,1.04,"2,248.26","2,256.67","2,229.85"
84,2022-10-21,"2,213.12",-4.97,-0.22,"2,210.59","2,224.04","2,204.64"
85,2022-10-20,"2,218.09",-19.35,-0.86,"2,225.53","2,231.52","2,200.44"
86,2022-10-19,"2,237.44",-12.51,-0.56,"2,249.35","2,266.80","2,234.59"
87,2022-10-18,"2,249.95",30.24,1.36,"2,249.15","2,251.74","2,220.71"
88,2022-10-17,"2,219.71",7.16,0.32,"2,187.17","2,221.05","2,177.66"
89,2022-10-14,"2,212.55",49.68,2.3,"2,200.66","2,220.54","2,193.63"
90,2022-10-13,"2,162.87",-39.6,-1.8,"2,198.29","2,198.34","2,162.87"
91,2022-10-12,"2,202.47",10.4,0.47,"2,191.35","2,205.02","2,181.65"
92,2022-10-11,"2,192.07",-40.77,-1.83,"2,193.02","2,193.05","2,174.06"
93,2022-10-07,"2,232.84",-5.02,-0.22,"2,217.84","2,245.88","2,215.08"
94,2022-10-06,"2,237.86",22.64,1.02,"2,230.43","2,250.87","2,223.36"
95,2022-10-05,"2,215.22",5.84,0.26,"2,248.85","2,253.93","2,204.03"
96,2022-10-04,"2,209.38",53.89,2.5,"2,189.51","2,212.38","2,180.84"
97,2022-09-30,"2,155.49",-15.44,-0.71,"2,161.11","2,177.20","2,134.77"
98,2022-09-29,"2,170.93",1.64,0.08,"2,197.75","2,210.61","2,170.14"
99,2022-09-28,"2,169.29",-54.57,-2.45,"2,206.15","2,223.56","2,151.60"
