종목,시세,등락률,시가총액(억),거래량(백만)
삼성전자,"60,300",-1.63,"3,599,779","7,794,328"
LG에너지솔루션,"507,000",-0.78,"1,186,380","176,709"
SK하이닉스,"89,300",-1.87,"650,106","1,248,864"
삼성바이오로직스,"770,000",-1.66,"548,040","34,995"
LG화학,"655,000",-2.09,"462,380","120,398"
삼성SDI,"673,000",-1.03,"462,785","115,147"
삼성전자우,"53,700",-1.47,"441,890","450,136"
현대차,"172,500",-0.81,"364,892","291,325"
NAVER,"206,000",-0.96,"337,941","680,621"
기아,"75,500",0.27,"306,049","566,137"
카카오,"61,400",-0.65,"273,546","1,022,106"
POSCO홀딩스,"319,000",-0.93,"269,782","609,601"
삼성물산,"111,000",-1.25,"207,445","137,631"
KB금융,"50,500",-0.39,"206,493","644,192"
셀트리온,"146,400",-1.94,"206,160","282,474"
현대모비스,"213,000",-2.74,"200,827","126,790"
신한지주,"38,250",-1.29,"194,610","706,893"
LG전자,"111,700",-1.5,"182,795","364,251"
포스코케미칼,"219,000",1.62,"169,644","575,950"
SK이노베이션,"151,200",-2.51,"139,808","347,530"
삼성생명,"67,200",-0.88,"134,400","147,139"
하나금융지주,"45,000",-0.66,"133,157","542,197"
SK,"177,600",-1.55,"131,689","136,265"
LG,"82,800",-2.36,"130,245","123,133"
KT&G,"89,600",-0.78,"123,014","163,504"
카카오뱅크,"25,200",-0.2,"120,136","535,621"
고려아연,"591,000",0.51,"117,391","32,086"
한국전력,"18,070",-1.58,"116,003","1,296,144"
HMM,"22,650",-1.74,"110,767","898,062"
삼성전기,"145,900",-1.08,"108,978","150,685"
LG생활건강,"668,000",-0.6,"104,330","35,764"
두산에너빌리티,"16,310",-0.06,"104,108","1,967,472"
삼성화재,"215,500",0.94,"102,093","52,542"
SK텔레콤,"44,850",-0.55,"98,147","376,638"
현대중공업,"108,800",-1.89,"96,585","72,601"
삼성에스디에스,"124,700",-1.66,"96,490","44,979"
엔씨소프트,"430,500",-1.82,"94,512","48,486"
S-Oil,"81,100",-1.22,"91,305","160,317"
우리금융지주,"12,070",-1.95,"87,877","1,372,389"
크래프톤,"172,300",-0.12,"84,836","92,594"
대한항공,"23,000",-0.22,"84,691","558,632"
아모레퍼시픽,"140,400",-3.04,"82,124","248,290"
기업은행,"10,180",-0.2,"81,178","492,221"
카카오페이,"60,300",-1.31,"80,610","213,830"
한화솔루션,"41,600",0,"79,572",-
KT,"29,950",-1.64,"78,203","1,246,004"
롯데케미칼,"178,300",-2.52,"76,269","63,189"
메리츠금융지주,"43,250",-0.8,"75,361","406,126"
하이브,"179,600",-1.97,"74,271","162,365"
LG이노텍,"281,000",-0.71,"66,505","79,214"
KODEX 200,"31,640",-1.43,"60,322","4,026,667"
현대글로비스,"159,600",-0.87,"59,850","64,093"
한국조선해양,"83,000",-2.81,"58,742","132,100"
SK스퀘어,"38,550",-1.91,"54,536","452,380"
F&F,"141,200",-1.19,"54,090","128,934"
LG디스플레이,"15,100",-0.92,"54,030","504,563"
DB손해보험,"75,400",2.03,"53,383","145,804"
SK바이오사이언스,"68,900",-2.82,"52,904","163,896"
삼성엔지니어링,"26,850",0.19,"52,626","455,220"
넷마블,"60,900",-3.33,"52,346","137,249"
SK바이오팜,"64,400",-1.68,"50,434","43,072"
맥쿼리인프라,"12,480",-0.16,"50,525","275,756"
오리온,"127,400",0.79,"50,369","58,648"
삼성중공업,"5,650",-2.08,"49,720","2,841,089"
TIGER CD금리투자KIS(합성),"51,980",0.03,"49,457","96,943"
한온시스템,"9,070",-1.09,"48,416","345,046"
CJ제일제당,"318,000",-2.9,"47,872","43,318"
현대제철,"35,750",-1.92,"47,707","368,039"
HD현대,"60,000",-0.17,"47,396","58,679"
금호석유,"161,900",0.12,"47,460","84,791"
LG유플러스,"10,760",-1.37,"46,979","692,747"
한국타이어앤테크놀로지,"37,350",-1.06,"46,267","96,464"
SK아이이테크놀로지,"64,300",-2.13,"45,844","162,556"
한화에어로스페이스,"88,600",-3.9,"44,858","978,137"
한국항공우주,"44,900",-3.44,"43,766","1,148,123"
강원랜드,"20,350",-0.97,"43,537","389,782"
미래에셋증권,"6,930",-2.94,"42,641","430,043"
메리츠증권,"6,770",-0.59,"41,638","855,293"
현대건설,"37,200",-2.11,"41,424","225,337"
포스코인터내셔널,"23,400",-3.31,"41,166","630,328"
유한양행,"52,500",-1.87,"40,235","147,203"
코웨이,"53,200",-0.56,"39,261","150,528"
두산밥캣,"38,350",-0.39,"38,446","137,016"
GS,"41,100",-2.61,"38,188","88,035"
삼성카드,"30,350",-0.49,"35,163","35,061"
팬오션,"6,530",-1.36,"34,907","2,000,507"
SKC,"91,600",-1.72,"34,687","135,187"
한국금융지주,"59,400",-1.16,"33,101","89,680"
현대차2우B,"91,800",-1.29,"33,159","28,781"
아모레G,"39,800",-3.05,"32,818","294,587"
한미약품,"260,000",-0.38,"32,662","13,158"
롯데지주,"30,700",-0.49,"32,207","99,782"
