종목,시세,등락률,시가총액,거래량
삼성전자,"61,300",-1.13,"3,659,477","10,134,614"
LG에너지솔루션,"511,000",0.79,"1,195,740","238,037"
SK하이닉스,"91,000",-1.83,"662,482","2,337,566"
삼성바이오로직스,"783,000",-0.76,"557,292","38,753"
LG화학,"669,000",0.15,"472,263","144,188"
삼성SDI,"680,000",-0.15,"467,599","198,354"
삼성전자우,"54,500",-1.09,"448,473","647,118"
현대차,"173,900",-1.31,"367,853","359,493"
NAVER,"208,000",-2.58,"341,222","846,827"
기아,"75,300",-1.44,"305,239","974,422"
카카오,"61,800",-1.12,"275,328","1,327,089"
POSCO홀딩스,"322,000",-2.87,"272,319","759,055"
셀트리온,"149,300",0.20,"210,243","480,877"
삼성물산,"112,400",-0.62,"210,061","222,263"
KB금융,"50,700",1.40,"207,311","1,347,535"
현대모비스,"219,000",0.69,"206,484","171,495"
신한지주,"38,750",0.26,"197,154","1,202,041"
LG전자,"113,400",-1.13,"185,577","709,230"
포스코케미칼,"215,500",-0.92,"166,933","572,471"
SK이노베이션,"155,100",-0.89,"143,414","371,919"
삼성생명,"67,800",0.30,"135,600","184,457"
하나금융지주,"45,300",0.22,"134,044","824,789"
SK,"180,400",-1.15,"133,765","188,955"
LG,"84,800",0.47,"133,391","205,773"
KT&G,"90,300",0.00,"123,975","308,242"
카카오뱅크,"25,250",-1.17,"120,374","1,270,221"
한국전력,"18,360",0.49,"117,865","961,593"
고려아연,"588,000",-1.34,"116,795","49,007"
HMM,"23,050",1.10,"112,724","2,313,940"
삼성전기,"147,500",-1.99,"110,173","282,635"
LG생활건강,"672,000",-0.44,"104,954","45,620"
두산에너빌리티,"16,320",-0.06,"104,172","4,265,809"
삼성화재,"213,500",0.47,"101,145","91,094"
SK텔레콤,"45,100",0.45,"98,694","1,043,658"
현대중공업,"110,900",-0.98,"98,449","100,679"
삼성에스디에스,"126,800",-0.55,"98,115","77,316"
엔씨소프트,"438,500",-3.09,"96,268","96,427"
S-Oil,"82,100",0.86,"92,430","177,846"
우리금융지주,"12,310",0.82,"89,624","1,974,865"
크래프톤,"172,500",-0.98,"84,934","179,674"
대한항공,"23,050",0.00,"84,875","836,437"
아모레퍼시픽,"144,800",-0.89,"84,698","126,724"
카카오페이,"61,100",-0.81,"81,679","386,987"
기업은행,"10,200",0.29,"81,337","761,961"
한화솔루션,"41,600",1.09,"79,572","2,550,912"
KT,"30,450",-3.94,"79,509","4,416,397"
롯데케미칼,"182,900",-2.14,"78,236","93,236"
메리츠금융지주,"43,600",4.18,"75,971","943,130"
하이브,"183,200",-2.40,"75,759","226,029"
LG이노텍,"283,000",-2.58,"66,978","219,057"
KODEX 200,"32,100",-0.90,"62,868","3,342,650"
